prior_power,prior,creation_cost,policy,avg_loss,cum_mismatch_loss,n_created,create_rate
2.0,well-specified (p=2),0.05,StaticThreshold,0.03758871255214971,0.38085502844188107,42,0.6363636363636364
2.0,well-specified (p=2),0.05,DoublyOptimistic,0.04999999999999999,0.0,66,1.0
2.0,well-specified (p=2),0.1,StaticThreshold,0.0680695927015684,0.5925931183035141,39,0.5909090909090909
2.0,well-specified (p=2),0.1,DoublyOptimistic,0.07735987349903294,0.10575165093617468,50,0.7575757575757576
2.0,well-specified (p=2),0.2,StaticThreshold,0.11303431744004264,2.4602649510428125,25,0.3787878787878788
2.0,well-specified (p=2),0.2,DoublyOptimistic,0.1225397092613136,0.8876208112466967,36,0.5454545454545454
2.0,well-specified (p=2),0.35,StaticThreshold,0.17169664385562558,5.381978494471291,17,0.25757575757575757
2.0,well-specified (p=2),0.35,DoublyOptimistic,0.1721244094122464,3.6602110212082657,22,0.3333333333333333
2.0,well-specified (p=2),0.5,StaticThreshold,0.21977492623325343,8.005145131394725,13,0.19696969696969696
2.0,well-specified (p=2),0.5,DoublyOptimistic,0.2211376312690061,7.5950836637544015,14,0.21212121212121213
1.0,mis-specified (p=1),0.05,StaticThreshold,0.03948108562024508,0.10575165093617468,50,0.7575757575757576
1.0,mis-specified (p=1),0.05,DoublyOptimistic,0.04999999999999999,0.0,66,1.0
1.0,mis-specified (p=1),0.1,StaticThreshold,0.07735987349903294,0.10575165093617468,50,0.7575757575757576
1.0,mis-specified (p=1),0.1,DoublyOptimistic,0.08190532804448748,0.10575165093617468,53,0.803030303030303
1.0,mis-specified (p=1),0.2,StaticThreshold,0.14018533860496146,0.25223234792745775,45,0.6818181818181818
1.0,mis-specified (p=1),0.2,DoublyOptimistic,0.1531174492566087,0.10575165093617468,50,0.7575757575757576
1.0,mis-specified (p=1),0.35,StaticThreshold,0.1940087756491917,1.2545791928466494,33,0.5
1.0,mis-specified (p=1),0.35,DoublyOptimistic,0.21522386590429288,0.5547751496833313,39,0.5909090909090909
1.0,mis-specified (p=1),0.5,StaticThreshold,0.22212440941224645,3.6602110212082657,22,0.3333333333333333
1.0,mis-specified (p=1),0.5,DoublyOptimistic,0.23044050322641263,2.2090732129432333,26,0.3939393939393939
